id,protocol,category,name,description,contract_address,function_signature,example,docs_url
1,alex,swap,swap-helper,"Swap tokens via Alex","SP102V8P0F7JX67ARQ77WEA3D3CFB5XW39REDT0AM.amm-swap-pool-v1-1","(swap-helper token-x token-y factor-x factor-y dx min-dy)","(contract-call? .amm-swap-pool-v1-1 swap-helper .token-wstx .age000-governance-token u100000000 u100000000 u1000000 u1)","https://docs.alexlab.co"
2,alex,pool,get-pool-details,"Get pool info","SP102V8P0F7JX67ARQ77WEA3D3CFB5XW39REDT0AM.amm-swap-pool-v1-1","(get-pool-details token-x token-y)","(contract-call? .amm-swap-pool-v1-1 get-pool-details .token-wstx .age000-governance-token)","https://docs.alexlab.co"
3,alex,liquidity,add-to-position,"Add liquidity to Alex","SP102V8P0F7JX67ARQ77WEA3D3CFB5XW39REDT0AM.amm-swap-pool-v1-1","(add-to-position token-x token-y factor-x factor-y dx)","(contract-call? .amm-swap-pool-v1-1 add-to-position .token-wstx .age000-governance-token u100000000 u100000000 u1000000)","https://docs.alexlab.co"
4,velar,swap,swap-exact-tokens,"Swap on Velar","SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-router","(swap-exact-tokens-for-tokens amount-in min-out path)","(contract-call? .univ2-router swap-exact-tokens-for-tokens u1000000 u950000 (list .token-a .token-b))","https://docs.velar.co"
5,velar,liquidity,add-liquidity,"Add liquidity to Velar","SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-router","(add-liquidity token-a token-b amount-a amount-b min-a min-b)","(contract-call? .univ2-router add-liquidity .token-a .token-b u1000000 u1000000 u900000 u900000)","https://docs.velar.co"
6,velar,liquidity,remove-liquidity,"Remove liquidity from Velar","SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-router","(remove-liquidity token-a token-b liquidity min-a min-b)","(contract-call? .univ2-router remove-liquidity .token-a .token-b u1000000 u900000 u900000)","https://docs.velar.co"
7,bitflow,swap,swap-stx-for-token,"Swap STX for tokens","SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9.swap-helper-v1-03","(swap-helper token-in token-out amt-in min-out)","(contract-call? .swap-helper-v1-03 swap-helper .wstx .token-out u1000000 u950000)","https://docs.bitflow.finance"
8,bitflow,swap,swap-token-for-stx,"Swap tokens for STX","SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9.swap-helper-v1-03","(swap-helper token-in token-out amt-in min-out)","(contract-call? .swap-helper-v1-03 swap-helper .token-in .wstx u1000000 u950000)","https://docs.bitflow.finance"
9,zest,supply,supply-asset,"Supply collateral to Zest","SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.pool-v1-0","(add-asset pool-id asset amount)","(contract-call? .pool-v1-0 add-asset u0 .sbtc u1000000)","https://docs.zestprotocol.com"
10,zest,borrow,borrow-asset,"Borrow from Zest","SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.pool-v1-0","(drawdown pool-id lp-token amount)","(contract-call? .pool-v1-0 drawdown u0 .lp-token u500000)","https://docs.zestprotocol.com"
11,zest,info,get-pool-data,"Get Zest pool info","SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.pool-v1-0","(get-pool pool-id)","(contract-call? .pool-v1-0 get-pool u0)","https://docs.zestprotocol.com"
12,stackingdao,stake,deposit,"Stake STX for stSTX","SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.stacking-dao-core-v1","(deposit amount)","(contract-call? .stacking-dao-core-v1 deposit u100000000)","https://docs.stackingdao.com"
13,stackingdao,unstake,withdraw,"Unstake stSTX for STX","SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.stacking-dao-core-v1","(withdraw amount)","(contract-call? .stacking-dao-core-v1 withdraw u100000000)","https://docs.stackingdao.com"
14,boost,boost,boost-stx,"Boost STX earnings","SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.pox-fast-pool-v2","(delegate-stx amount pox-addr)","(contract-call? .pox-fast-pool-v2 delegate-stx u100000000 pox-addr)","https://boost.stacks.co"
15,faktory,swap,swap-tokens,"Swap on Faktory","SPTF1TGKT2AF5EJ0ZN56T87J14XSRFR9JFPFG2QV.faktory-v2-01","(swap token-in token-out amt-in min-out)","(contract-call? .faktory-v2-01 swap .token-in .token-out u1000000 u950000)","https://fak.fun"
