source_domain,source_id,relationship_type,target_domain,target_id,strength,context,bidirectional,notes
bns,1,requires,clarity-syntax,59,10,"BNS name-to-address uses contract-call?",false,"Critical dependency"
bns,2,requires,clarity-syntax,59,10,"BNS resolve-principal uses contract-call?",false,"Critical dependency"
bns,12,javascript-for,bns,1,10,"JavaScript SDK implements Clarity name resolution",false,"Language bridge"
bns,13,javascript-for,bns,2,10,"JavaScript SDK implements Clarity principal resolution",false,"Language bridge"
defi-protocols,1,requires,clarity-syntax,59,10,"Alex swap uses contract-call?",false,"Core operation"
defi-protocols,1,uses,fungible-tokens,47,10,"Swap requires ft-transfer?",false,"Token transfer"
defi-protocols,2,uses,fungible-tokens,47,10,"Liquidity provision requires ft-transfer?",false,"Token transfer"
defi-protocols,3,requires,clarity-syntax,59,10,"Velar swap uses contract-call?",false,"Core operation"
defi-protocols,16,javascript-for,defi-protocols,1,10,"JavaScript SDK calls Clarity swap function",false,"Language bridge"
defi-protocols,17,javascript-for,defi-protocols,2,10,"JavaScript SDK calls Clarity liquidity function",false,"Language bridge"
nfts,1,implements,clarity-syntax,60,10,"NFT contract implements SIP-009 trait",false,"Standard compliance"
nfts,2,requires,clarity-syntax,59,10,"NFT mint uses contract-call?",false,"Core operation"
nfts,9,requires,security-patterns,1,9,"NFT marketplace needs access control",false,"Security critical"
nfts,10,uses,security-patterns,2,9,"NFT transfer uses checks-effects-interactions",false,"Security pattern"
nfts,15,javascript-for,nfts,1,10,"JavaScript SDK implements NFT minting",false,"Language bridge"
nfts,20,javascript-for,nfts,9,10,"JavaScript SDK implements marketplace operations",false,"Language bridge"
fungible-tokens,1,implements,clarity-syntax,60,10,"Token implements SIP-010 trait",false,"Standard compliance"
fungible-tokens,47,requires,clarity-syntax,47,10,"ft-transfer? is Clarity function",false,"Core function"
fungible-tokens,10,uses,security-patterns,1,9,"Token transfer requires access control",false,"Security"
fungible-tokens,15,javascript-for,fungible-tokens,1,10,"JavaScript SDK implements token operations",false,"Language bridge"
security-patterns,1,prevents,security-patterns,14,10,"Access control prevents unauthorized access",true,"Security defense"
security-patterns,2,prevents,security-patterns,15,10,"Checks-effects-interactions prevents reentrancy",true,"Security defense"
security-patterns,5,uses,clarity-syntax,55,9,"Post-conditions use asserts!",false,"Validation pattern"
contract-templates,1,implements,fungible-tokens,1,10,"SIP-010 template implements token standard",false,"Standard implementation"
contract-templates,2,implements,nfts,1,10,"SIP-009 template implements NFT standard",false,"Standard implementation"
contract-templates,5,uses,security-patterns,1,9,"DAO template uses access control",false,"Security best practice"
stacking,1,requires,clarity-syntax,59,10,"Stacking operations use contract-call?",false,"PoX integration"
stacking,2,uses,fungible-tokens,47,10,"Delegate-stx transfers tokens",false,"Token operation"
stacking,10,javascript-for,stacking,1,10,"JavaScript SDK implements stacking",false,"Language bridge"
authentication,1,uses,clarity-syntax,52,9,"Auth uses principal functions",false,"Identity management"
authentication,5,uses,security-patterns,1,9,"Session management uses access control",false,"Security"
authentication,10,javascript-for,authentication,1,10,"JavaScript SDK implements wallet connect",false,"Language bridge"
clarity-syntax,59,uses,clarity-syntax,47,9,"contract-call? uses function calling",true,"Core mechanism"
clarity-syntax,60,extends,clarity-syntax,59,9,"Traits extend contract-call mechanism",false,"Advanced feature"
clarity-syntax,55,uses,clarity-syntax,23,9,"asserts! uses control flow",false,"Validation"
deployment,1,requires,clarity-syntax,1,7,"Deployment requires valid Clarity syntax",false,"Pre-deployment check"
deployment,5,uses,security-patterns,1,9,"Deployment should verify security patterns",false,"Best practice"
stacks-js-core,1,uses,clarity-syntax,1,8,"SDK must match Clarity types",false,"Type safety"
stacks-js-core,10,uses,clarity-syntax,59,10,"makeContractCall maps to contract-call?",false,"Core SDK function"
stacks-js-core,15,uses,clarity-syntax,10,10,"Clarity value constructors match types",true,"Type mapping"
defi-protocols,1,similar-to,defi-protocols,3,8,"Alex and Velar both provide DEX swaps",true,"Alternative approach"
