id,language,category,name,description,code,imports_or_contract,notes
1,javascript,wallet-sdk,restore-wallet-from-seed,"Restore wallet from seed phrase","import { generateWallet, generateNewAccount, restoreWalletAccounts, getStxAddress } from '@stacks/wallet-sdk'; import { StacksMainnet, TransactionVersion } from '@stacks/network'; const seedPhrase = process.env.SEED_PHASES; const password = process.env.PASSWORD; let restoredWallet = await generateWallet({ secretKey: seedPhrase, password: password ?? '' }); restoredWallet = generateNewAccount(restoredWallet); const wallet = await restoreWalletAccounts({ wallet: restoredWallet, gaiaHubUrl: 'https://hub.blockstack.org', network: new StacksMainnet() }); const mainnetAddr = getStxAddress({ account: restoredWallet.accounts[0], transactionVersion: TransactionVersion.Mainnet }); const account = wallet.accounts[0]","import { generateWallet, generateNewAccount, restoreWalletAccounts, getStxAddress } from '@stacks/wallet-sdk'; import { StacksMainnet, TransactionVersion } from '@stacks/network'","Use wallet-sdk for automated trading; stores seed in env; generates mainnet address; account.stxPrivateKey for signing"
2,javascript,wallet-sdk,get-wallet-addresses,"Get testnet and mainnet addresses","import { getStxAddress } from '@stacks/wallet-sdk'; import { TransactionVersion } from '@stacks/transactions'; const testnetAddr = getStxAddress({ account: wallet.accounts[0], transactionVersion: TransactionVersion.Testnet }); const mainnetAddr = getStxAddress({ account: wallet.accounts[0], transactionVersion: TransactionVersion.Mainnet })","import { getStxAddress } from '@stacks/wallet-sdk'; import { TransactionVersion } from '@stacks/transactions'","Get addresses for both networks; use mainnetAddr for production; testnetAddr for testing"
3,javascript,balance,fetch-token-balances,"Fetch all token balances for address","const response = await fetch(`https://api.hiro.so/extended/v1/address/${address}/balances`, { headers: getRandomHeader() }); const data = await response.json(); const tokenIds = Object.keys(data.fungible_tokens); tokenIds.forEach(tokenId => { const balance = Number(data.fungible_tokens[tokenId].balance); console.log(`${tokenId}: ${balance}`) })","fetch","Get all FT holdings; iterate through fungible_tokens; balance is in smallest unit"
4,javascript,balance,filter-bonding-tokens,"Filter bonding curve tokens from holdings","const tokenHoldings = []; const tokenIds = Object.keys(data.fungible_tokens); for(const tokenId of tokenIds) { const balance = Number(data.fungible_tokens[tokenId].balance); if (balance > (100 * Math.pow(10, 6)) && (tokenId.toLowerCase().includes('bonding-curve') || tokenId.toLowerCase().includes('stxcity'))) { tokenHoldings.push({ tokenId, balance }) } }","None","Filter by min balance (100 STX worth); filter by contract name pattern; useful for bot automation"
5,javascript,balance,calculate-sell-amount,"Calculate percentage of holdings to sell","const holding = 1000000; const sellPercent = 50; const amountToSell = Math.floor(holding * Number(sellPercent)/100)","None","Floor division for integer amounts; sellPercent from API request; prevents dust"
6,javascript,txOptions,basic-contract-call,"Build basic txOptions for contract call","import { makeContractCall, principalCV, uintCV, AnchorMode, PostConditionMode } from '@stacks/transactions'; const txOptions = { contractAddress: 'SP2C2YFP...', contractName: 'dex-contract', functionName: 'swap', functionArgs: [ principalCV('SP...token-contract'), uintCV(1000000) ], senderKey: account.stxPrivateKey, validateWithAbi: true, network: new StacksMainnet(), postConditions: [], anchorMode: AnchorMode.OnChainOnly, postConditionMode: PostConditionMode.Deny }","import { makeContractCall, principalCV, uintCV, AnchorMode, PostConditionMode } from '@stacks/transactions'; import { StacksMainnet } from '@stacks/network'","Complete txOptions structure; senderKey from wallet-sdk; validateWithAbi catches errors early"
7,javascript,txOptions,set-transaction-fee,"Set custom transaction fee","const txOptions = { ...baseOptions }; const txFee = 0.1; if (txFee !== null && txFee !== undefined) { txOptions.fee = Number(txFee) * Math.pow(10, 6) }","None","Fee in microSTX; 0.1 STX = 100,000 microSTX; optional parameter"
8,javascript,txOptions,random-fee-range,"Generate random fee for privacy","const randomFee = (Math.random() * (0.3 - 0.08) + 0.08).toFixed(2); txOptions.fee = Number(randomFee) * Math.pow(10, 6)","None","Random fee between 0.08-0.3 STX; prevents MEV; harder to identify bot transactions"
9,javascript,post-conditions,user-sends-ft,"Post-condition: user sends exact FT amount","import { Pc } from '@stacks/transactions'; const contractNameForPC = `${deployer}.${name}` as `${string}.${string}`; const sendFTCondition = Pc.principal(userAddress) .willSendEq(BigInt(amountToSell)).ft(contractNameForPC, symbol); postConditions.push(sendFTCondition)","import { Pc } from '@stacks/transactions'","willSendEq for exact amounts; ft() requires contract.name format; symbol is token identifier"
10,javascript,post-conditions,dex-sends-stx,"Post-condition: DEX sends minimum STX","import { Pc } from '@stacks/transactions'; const sendSTXPostCondition = Pc.principal(dexContractId) .willSendGte(100).ustx(); postConditions.push(sendSTXPostCondition)","import { Pc } from '@stacks/transactions'","willSendGte for minimum guarantee; 100 microSTX minimum; protects against zero-return exploits"
